name,team,season,count
Wayne Hennessey,crystal-palace,2016,1
Joel Ward,crystal-palace,2016,1
Scott Dann,crystal-palace,2016,1
Pape SouarÃ©,crystal-palace,2016,1
Damien Delaney,crystal-palace,2016,1
James McArthur,crystal-palace,2016,1
Jordon Mutch,crystal-palace,2016,1
Joe Ledley,crystal-palace,2016,1
Jason Puncheon,crystal-palace,2016,1
Fraizer Campbell,crystal-palace,2016,1
Wilfried Zaha,crystal-palace,2016,1
Adam Federici,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Sylvain Distin,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Junior Stanislas,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Tim Howard,everton-fc,2016,1
John Stones,everton-fc,2016,1
SÃ©amus Coleman,everton-fc,2016,1
Ramiro Funes Mori,everton-fc,2016,1
Brendan Galloway,everton-fc,2016,1
James McCarthy,everton-fc,2016,1
Gareth Barry,everton-fc,2016,1
Ross Barkley,everton-fc,2016,1
Arouna KonÃ©,everton-fc,2016,1
Romelu Lukaku,everton-fc,2016,1
 Gerard Deulofeu,everton-fc,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Tommy Elphick,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Eunan O'Kane,afc-bournemouth,2016,1
Max Gradel,afc-bournemouth,2016,1
Callum Wilson,afc-bournemouth,2016,1
Lee Tomlin,afc-bournemouth,2016,1
Kasper Schmeichel,leicester-city,2016,1
Ritchie De Laet,leicester-city,2016,1
Wes Morgan,leicester-city,2016,1
Robert Huth,leicester-city,2016,1
Jeffrey Schlupp,leicester-city,2016,1
Danny Drinkwater,leicester-city,2016,1
Andy King,leicester-city,2016,1
Marc Albrighton,leicester-city,2016,1
N'Golo KantÃ©,leicester-city,2016,1
Riyad Mahrez,leicester-city,2016,1
Jamie Vardy,leicester-city,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Tommy Elphick,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Junior Stanislas,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Max Gradel,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Danny Ward,liverpool-fc,2016,1
Kolo TourÃ©,liverpool-fc,2016,1
Brad Smith,liverpool-fc,2016,1
Connor Randall,liverpool-fc,2016,1
 Lucas Leiva,liverpool-fc,2016,1
Joe Allen,liverpool-fc,2016,1
Kevin Stewart,liverpool-fc,2016,1
Sheyi Ojo,liverpool-fc,2016,1
 Roberto Firmino,liverpool-fc,2016,1
Daniel Sturridge,liverpool-fc,2016,1
Jordon Ibe,liverpool-fc,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Eunan O'Kane,afc-bournemouth,2016,1
Max Gradel,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Lewis Grabban,afc-bournemouth,2016,1
Willy Caballero,manchester-city,2016,1
Pablo Zabaleta,manchester-city,2016,1
Eliaquim Mangala,manchester-city,2016,1
GaÃ«l Clichy,manchester-city,2016,1
NicolÃ¡s Otamendi,manchester-city,2016,1
 Fernando,manchester-city,2016,1
 JesÃºs Navas,manchester-city,2016,1
Kevin De Bruyne,manchester-city,2016,1
 David Silva,manchester-city,2016,1
 Fernandinho,manchester-city,2016,1
Kun AgÃ¼ero,manchester-city,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Junior Stanislas,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
 De Gea,manchester-united,2016,1
Daley Blind,manchester-united,2016,1
Guillermo Varela,manchester-united,2016,1
Paddy McNair,manchester-united,2016,1
Cameron Borthwick-Jackson,manchester-united,2016,1
 Mata,manchester-united,2016,1
Michael Carrick,manchester-united,2016,1
Marouane Fellaini,manchester-united,2016,1
Jesse Lingard,manchester-united,2016,1
Memphis Depay,manchester-united,2016,1
Anthony Martial,manchester-united,2016,1
Adam Federici,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Sylvain Distin,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Junior Stanislas,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Rob Elliot,newcastle-united,2016,1
Fabricio Coloccini,newcastle-united,2016,1
Paul Dummett,newcastle-united,2016,1
Chancel Mbemba,newcastle-united,2016,1
Daryl Janmaat,newcastle-united,2016,1
Georginio Wijnaldum,newcastle-united,2016,1
Moussa Sissoko,newcastle-united,2016,1
Vurnon Anita,newcastle-united,2016,1
 Ayoze PÃ©rez,newcastle-united,2016,1
Cheick TiotÃ©,newcastle-united,2016,1
Aleksandar MitroviÄ,newcastle-united,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Marc Pugh,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Junior Stanislas,afc-bournemouth,2016,1
Benik Afobe,afc-bournemouth,2016,1
Declan Rudd,norwich-city,2016,1
Russell Martin,norwich-city,2016,1
SÃ©bastien Bassong,norwich-city,2016,1
Robbie Brady,norwich-city,2016,1
Ryan Bennett,norwich-city,2016,1
Jonny Howson,norwich-city,2016,1
Wes Hoolahan,norwich-city,2016,1
Matthew Jarvis,norwich-city,2016,1
Alexander Tettey,norwich-city,2016,1
Vadis Odjidja-Ofoe,norwich-city,2016,1
Dieumerci Mbokani,norwich-city,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Max Gradel,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Benik Afobe,afc-bournemouth,2016,1
Fraser Forster,southampton-fc,2016,1
 CÃ©dric Soares,southampton-fc,2016,1
Maya Yoshida,southampton-fc,2016,1
 JosÃ© Fonte,southampton-fc,2016,1
Virgil van Dijk,southampton-fc,2016,1
Ryan Bertrand,southampton-fc,2016,1
 Oriol Romeu,southampton-fc,2016,1
James Ward-Prowse,southampton-fc,2016,1
Shane Long,southampton-fc,2016,1
Sadio ManÃ©,southampton-fc,2016,1
Charlie Austin,southampton-fc,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Marc Pugh,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Junior Stanislas,afc-bournemouth,2016,1
Benik Afobe,afc-bournemouth,2016,1
Jack Butland,stoke-city,2016,1
Erik Pieters,stoke-city,2016,1
 Muniesa,stoke-city,2016,1
Glen Johnson,stoke-city,2016,1
Philipp Wollscheid,stoke-city,2016,1
Glenn Whelan,stoke-city,2016,1
Ibrahim Afellay,stoke-city,2016,1
Giannelli Imbula,stoke-city,2016,1
Xherdan Shaqiri,stoke-city,2016,1
Mame Diouf,stoke-city,2016,1
Jon Walters,stoke-city,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Sylvain Distin,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Marc Pugh,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Callum Wilson,afc-bournemouth,2016,1
Lee Tomlin,afc-bournemouth,2016,1
Costel Pantilimon,sunderland-afc,2016,1
Billy Jones,sunderland-afc,2016,1
Patrick van Aanholt,sunderland-afc,2016,1
YounÃ¨s Kaboul,sunderland-afc,2016,1
SebastiÃ¡n Coates,sunderland-afc,2016,1
 Jordi GÃ³mez,sunderland-afc,2016,1
Ola Toivonen,sunderland-afc,2016,1
Yann M'Vila,sunderland-afc,2016,1
Fabio Borini,sunderland-afc,2016,1
Jeremain Lens,sunderland-afc,2016,1
Jermain Defoe,sunderland-afc,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Max Gradel,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Benik Afobe,afc-bournemouth,2016,1
Åukasz FabiaÅski,swansea-city,2016,1
Neil Taylor,swansea-city,2016,1
Ashley Williams,swansea-city,2016,1
 Ãngel Rangel,swansea-city,2016,1
Federico FernÃ¡ndez,swansea-city,2016,1
Leroy Fer,swansea-city,2016,1
Gylfi SigurÃ°sson,swansea-city,2016,1
Jack Cork,swansea-city,2016,1
Alberto Paloschi,swansea-city,2016,1
Wayne Routledge,swansea-city,2016,1
Modou Barrow,swansea-city,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Sylvain Distin,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Marc Pugh,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Glenn Murray,afc-bournemouth,2016,1
Hugo Lloris,tottenham-hotspur,2016,1
Kyle Walker,tottenham-hotspur,2016,1
Danny Rose,tottenham-hotspur,2016,1
Toby Alderweireld,tottenham-hotspur,2016,1
Jan Vertonghen,tottenham-hotspur,2016,1
Eric Dier,tottenham-hotspur,2016,1
Mousa DembÃ©lÃ©,tottenham-hotspur,2016,1
Dele Alli,tottenham-hotspur,2016,1
Christian Eriksen,tottenham-hotspur,2016,1
Harry Kane,tottenham-hotspur,2016,1
Ãrik Lamela,tottenham-hotspur,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Sylvain Distin,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Marc Pugh,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Glenn Murray,afc-bournemouth,2016,1
 Gomes,watford-fc,2016,1
Allan Nyom,watford-fc,2016,1
Sebastian PrÃ¶dl,watford-fc,2016,1
Craig Cathcart,watford-fc,2016,1
Nathan AkÃ©,watford-fc,2016,1
Ikechi Anya,watford-fc,2016,1
Almen Abdi,watford-fc,2016,1
Ben Watson,watford-fc,2016,1
Ãtienne Capoue,watford-fc,2016,1
Troy Deeney,watford-fc,2016,1
Odion Ighalo,watford-fc,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Tommy Elphick,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Junior Stanislas,afc-bournemouth,2016,1
Max Gradel,afc-bournemouth,2016,1
Benik Afobe,afc-bournemouth,2016,1
Lewis Grabban,afc-bournemouth,2016,1
Ben Foster,west-bromwich-albion,2016,1
Jonas Olsson,west-bromwich-albion,2016,1
Jonny Evans,west-bromwich-albion,2016,1
Gareth McAuley,west-bromwich-albion,2016,1
Craig Dawson,west-bromwich-albion,2016,1
Claudio Yacob,west-bromwich-albion,2016,1
Craig Gardner,west-bromwich-albion,2016,1
Darren Fletcher,west-bromwich-albion,2016,1
James McClean,west-bromwich-albion,2016,1
SalomÃ³n RondÃ³n,west-bromwich-albion,2016,1
Jonathan Leko,west-bromwich-albion,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Junior Stanislas,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Benik Afobe,afc-bournemouth,2016,1
 AdriÃ¡n,west-ham-united,2016,1
Aaron Cresswell,west-ham-united,2016,1
James Tomkins,west-ham-united,2016,1
James Collins,west-ham-united,2016,1
Angelo Ogbonna,west-ham-united,2016,1
 Pedro Obiang,west-ham-united,2016,1
Mark Noble,west-ham-united,2016,1
Dimitri Payet,west-ham-united,2016,1
Michail Antonio,west-ham-united,2016,1
Andy Carroll,west-ham-united,2016,1
Enner Valencia,west-ham-united,2016,1
Petr Äech,arsenal-fc,2016,1
Kieran Gibbs,arsenal-fc,2016,1
Per Mertesacker,arsenal-fc,2016,1
 Gabriel Paulista,arsenal-fc,2016,1
Calum Chambers,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
Aaron Ramsey,arsenal-fc,2016,1
Olivier Giroud,arsenal-fc,2016,1
Theo Walcott,arsenal-fc,2016,1
Alex Oxlade-Chamberlain,arsenal-fc,2016,1
Artur Boruc,afc-bournemouth,2016,1
Simon Francis,afc-bournemouth,2016,1
Steve Cook,afc-bournemouth,2016,1
Charlie Daniels,afc-bournemouth,2016,1
Adam Smith,afc-bournemouth,2016,1
Dan Gosling,afc-bournemouth,2016,1
Andrew Surman,afc-bournemouth,2016,1
Marc Pugh,afc-bournemouth,2016,1
Harry Arter,afc-bournemouth,2016,1
Matt Ritchie,afc-bournemouth,2016,1
Joshua King,afc-bournemouth,2016,1
Petr Äech,arsenal-fc,2016,1
 Gabriel Paulista,arsenal-fc,2016,1
Laurent Koscielny,arsenal-fc,2016,1
 Nacho Monreal,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Jack Wilshere,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
 Santi Cazorla,arsenal-fc,2016,1
Francis Coquelin,arsenal-fc,2016,1
Olivier Giroud,arsenal-fc,2016,1
Alexis SÃ¡nchez,arsenal-fc,2016,1
Mark Bunn,aston-villa,2016,1
Leandro Bacuna,aston-villa,2016,1
Joleon Lescott,aston-villa,2016,1
Aly Cissokho,aston-villa,2016,1
Kevin Toner,aston-villa,2016,1
Idrissa Gueye,aston-villa,2016,1
Scott Sinclair,aston-villa,2016,1
Ashley Westwood,aston-villa,2016,1
Carlos SÃ¡nchez,aston-villa,2016,1
Jordan Lyden,aston-villa,2016,1
Jordan Ayew,aston-villa,2016,1
Petr Äech,arsenal-fc,2016,1
Per Mertesacker,arsenal-fc,2016,1
Laurent Koscielny,arsenal-fc,2016,1
 Nacho Monreal,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
Aaron Ramsey,arsenal-fc,2016,1
Mathieu Flamini,arsenal-fc,2016,1
Olivier Giroud,arsenal-fc,2016,1
Theo Walcott,arsenal-fc,2016,1
Joel Campbell,arsenal-fc,2016,1
Thibaut Courtois,chelsea-fc,2016,1
Branislav IvanoviÄ,chelsea-fc,2016,1
Kurt Zouma,chelsea-fc,2016,1
John Terry,chelsea-fc,2016,1
 Azpilicueta,chelsea-fc,2016,1
 Cesc FÃ bregas,chelsea-fc,2016,1
 Oscar,chelsea-fc,2016,1
John Mikel,chelsea-fc,2016,1
Nemanja MatiÄ,chelsea-fc,2016,1
 Willian,chelsea-fc,2016,1
 Diego Costa,chelsea-fc,2016,1
Petr Äech,arsenal-fc,2016,1
 Gabriel Paulista,arsenal-fc,2016,1
Laurent Koscielny,arsenal-fc,2016,1
 Nacho Monreal,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
Francis Coquelin,arsenal-fc,2016,1
Mohamed El Neny,arsenal-fc,2016,1
Alexis SÃ¡nchez,arsenal-fc,2016,1
Danny Welbeck,arsenal-fc,2016,1
Alex Iwobi,arsenal-fc,2016,1
Wayne Hennessey,crystal-palace,2016,1
Joel Ward,crystal-palace,2016,1
Scott Dann,crystal-palace,2016,1
Pape SouarÃ©,crystal-palace,2016,1
Damien Delaney,crystal-palace,2016,1
Yohan Cabaye,crystal-palace,2016,1
Yannick Bolasie,crystal-palace,2016,1
Mile Jedinak,crystal-palace,2016,1
Joe Ledley,crystal-palace,2016,1
Jason Puncheon,crystal-palace,2016,1
Connor Wickham,crystal-palace,2016,1
Petr Äech,arsenal-fc,2016,1
 Gabriel Paulista,arsenal-fc,2016,1
Laurent Koscielny,arsenal-fc,2016,1
 Nacho Monreal,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
 Santi Cazorla,arsenal-fc,2016,1
Francis Coquelin,arsenal-fc,2016,1
Olivier Giroud,arsenal-fc,2016,1
Alex Oxlade-Chamberlain,arsenal-fc,2016,1
Alexis SÃ¡nchez,arsenal-fc,2016,1
Tim Howard,everton-fc,2016,1
John Stones,everton-fc,2016,1
Phil Jagielka,everton-fc,2016,1
SÃ©amus Coleman,everton-fc,2016,1
Brendan Galloway,everton-fc,2016,1
Aaron Lennon,everton-fc,2016,1
James McCarthy,everton-fc,2016,1
Gareth Barry,everton-fc,2016,1
Ross Barkley,everton-fc,2016,1
Romelu Lukaku,everton-fc,2016,1
 Gerard Deulofeu,everton-fc,2016,1
Petr Äech,arsenal-fc,2016,1
Per Mertesacker,arsenal-fc,2016,1
Laurent Koscielny,arsenal-fc,2016,1
 Nacho Monreal,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
Aaron Ramsey,arsenal-fc,2016,1
Francis Coquelin,arsenal-fc,2016,1
Olivier Giroud,arsenal-fc,2016,1
Alex Oxlade-Chamberlain,arsenal-fc,2016,1
Alexis SÃ¡nchez,arsenal-fc,2016,1
Kasper Schmeichel,leicester-city,2016,1
Wes Morgan,leicester-city,2016,1
Robert Huth,leicester-city,2016,1
Danny Simpson,leicester-city,2016,1
Christian Fuchs,leicester-city,2016,1
Danny Drinkwater,leicester-city,2016,1
Marc Albrighton,leicester-city,2016,1
N'Golo KantÃ©,leicester-city,2016,1
Riyad Mahrez,leicester-city,2016,1
Jamie Vardy,leicester-city,2016,1
Shinji Okazaki,leicester-city,2016,1
Petr Äech,arsenal-fc,2016,1
 Gabriel Paulista,arsenal-fc,2016,1
 Nacho Monreal,arsenal-fc,2016,1
Calum Chambers,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
Aaron Ramsey,arsenal-fc,2016,1
 Santi Cazorla,arsenal-fc,2016,1
Francis Coquelin,arsenal-fc,2016,1
Olivier Giroud,arsenal-fc,2016,1
Alexis SÃ¡nchez,arsenal-fc,2016,1
Simon Mignolet,liverpool-fc,2016,1
Nathaniel Clyne,liverpool-fc,2016,1
Dejan Lovren,liverpool-fc,2016,1
Joe Gomez,liverpool-fc,2016,1
Martin Å krtel,liverpool-fc,2016,1
James Milner,liverpool-fc,2016,1
 Coutinho,liverpool-fc,2016,1
 Lucas Leiva,liverpool-fc,2016,1
Emre Can,liverpool-fc,2016,1
Christian Benteke,liverpool-fc,2016,1
 Roberto Firmino,liverpool-fc,2016,1
Petr Äech,arsenal-fc,2016,1
Per Mertesacker,arsenal-fc,2016,1
Laurent Koscielny,arsenal-fc,2016,1
 Nacho Monreal,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
Aaron Ramsey,arsenal-fc,2016,1
Mathieu Flamini,arsenal-fc,2016,1
Olivier Giroud,arsenal-fc,2016,1
Theo Walcott,arsenal-fc,2016,1
Joel Campbell,arsenal-fc,2016,1
Joe Hart,manchester-city,2016,1
Bacary Sagna,manchester-city,2016,1
Aleksandar Kolarov,manchester-city,2016,1
Eliaquim Mangala,manchester-city,2016,1
NicolÃ¡s Otamendi,manchester-city,2016,1
Kevin De Bruyne,manchester-city,2016,1
Fabian Delph,manchester-city,2016,1
 David Silva,manchester-city,2016,1
 Fernandinho,manchester-city,2016,1
Yaya TourÃ©,manchester-city,2016,1
Kun AgÃ¼ero,manchester-city,2016,1
Petr Äech,arsenal-fc,2016,1
Per Mertesacker,arsenal-fc,2016,1
 Gabriel Paulista,arsenal-fc,2016,1
 Nacho Monreal,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
Aaron Ramsey,arsenal-fc,2016,1
 Santi Cazorla,arsenal-fc,2016,1
Francis Coquelin,arsenal-fc,2016,1
Theo Walcott,arsenal-fc,2016,1
Alexis SÃ¡nchez,arsenal-fc,2016,1
 De Gea,manchester-united,2016,1
Chris Smalling,manchester-united,2016,1
Daley Blind,manchester-united,2016,1
Matteo Darmian,manchester-united,2016,1
 Mata,manchester-united,2016,1
Michael Carrick,manchester-united,2016,1
Ashley Young,manchester-united,2016,1
Bastian Schweinsteiger,manchester-united,2016,1
Memphis Depay,manchester-united,2016,1
Anthony Martial,manchester-united,2016,1
Wayne Rooney,manchester-united,2016,1
Petr Äech,arsenal-fc,2016,1
Per Mertesacker,arsenal-fc,2016,1
Laurent Koscielny,arsenal-fc,2016,1
 Nacho Monreal,arsenal-fc,2016,1
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,1
Mesut Ãzil,arsenal-fc,2016,1
Aaron Ramsey,arsenal-fc,2016,1
Mathieu Flamini,arsenal-fc,2016,1
Olivier Giroud,arsenal-fc,2016,1
Theo Walcott,arsenal-fc,2016,1
Alex Oxlade-Chamberlain,arsenal-fc,2016,1
Rob Elliot,newcastle-united,2016,1
Fabricio Coloccini,newcastle-united,2016,1
Paul Dummett,newcastle-united,2016,1
Chancel Mbemba,newcastle-united,2016,1
Daryl Janmaat,newcastle-united,2016,1
Jack Colback,newcastle-united,2016,1
Georginio Wijnaldum,newcastle-united,2016,1
Moussa Sissoko,newcastle-united,2016,1
 Ayoze PÃ©rez,newcastle-united,2016,1
Cheick TiotÃ©,newcastle-united,2016,1
Aleksandar MitroviÄ,newcastle-united,2016,1
Petr Äech,arsenal-fc,2016,1
